level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	760	725	-1	
2	1	1	0	0	0	14	7	171	9	-1	
3	1	1	1	0	0	14	7	171	9	-1	
4	1	1	1	1	0	14	7	171	9	-1	
5	1	1	1	1	1	14	0	21	25	96.091820	Data
5	1	1	1	1	2	41	8	20	8	93.662308	View
5	1	1	1	1	3	68	8	2	8	79.950829	1
5	1	1	1	1	4	76	0	7	25	79.950829	|
5	1	1	1	1	5	86	7	80	9	40.299980	MainWheel@S
5	1	1	1	1	6	177	9	8	7	89.860001	x
2	1	2	0	0	0	0	19	757	6	-1	
3	1	2	1	0	0	0	19	757	6	-1	
4	1	2	1	1	0	0	19	757	6	-1	
5	1	2	1	1	1	0	19	757	6	95.000000	 
2	1	3	0	0	0	4	32	206	253	-1	
3	1	3	1	0	0	4	32	206	253	-1	
4	1	3	1	1	0	4	32	44	10	-1	
5	1	3	1	1	1	4	32	44	10	53.234123	Tagname
4	1	3	1	2	0	21	50	77	11	-1	
5	1	3	1	2	1	21	50	77	11	67.676163	‘MainWwheel_Run
4	1	3	1	3	0	21	66	189	11	-1	
5	1	3	1	3	1	21	66	189	11	55.186989	Drive_MainWhee!_Write.RunFrequency
4	1	3	1	4	0	21	82	187	11	-1	
5	1	3	1	4	1	21	82	187	11	49.430183	Drive_MainWheel_Write.JogFrequency
4	1	3	1	5	0	21	98	158	11	-1	
5	1	3	1	5	1	21	98	158	11	50.122147	Drive_MainWheel_Write.Timeout
4	1	3	1	6	0	21	114	143	11	-1	
5	1	3	1	6	1	21	114	143	11	41.511581	Drive_MainWhee!_WriteError
4	1	3	1	7	0	21	130	157	11	-1	
5	1	3	1	7	1	21	130	157	11	66.873932	Drive_MainWhee!_Write.Success
4	1	3	1	8	0	21	146	164	11	-1	
5	1	3	1	8	1	21	146	164	11	65.367355	Drive_MainWhee!_Write.Complete
4	1	3	1	9	0	21	162	171	11	-1	
5	1	3	1	9	1	21	162	171	11	62.972542	Drive_MainWhee!_Write.InProgress
4	1	3	1	10	0	21	178	183	11	-1	
5	1	3	1	10	1	21	178	183	11	76.473228	Drive_MainWheel_Write.ExcResponse
4	1	3	1	11	0	21	194	100	11	-1	
5	1	3	1	11	1	17	184	56	28	33.557419	‘MainWwheel
5	1	3	1	11	2	79	184	46	28	91.283546	Direction
4	1	3	1	12	0	21	210	111	11	-1	
5	1	3	1	12	1	21	210	111	11	22.213371	MainWwheel_FaultReset
4	1	3	1	13	0	21	226	75	11	-1	
5	1	3	1	13	1	21	226	75	11	41.503380	‘MainWheel_Jog
4	1	3	1	14	0	21	242	126	11	-1	
5	1	3	1	14	1	21	242	126	11	49.492764	‘MainWwheel_RunModeData
4	1	3	1	15	0	21	258	129	11	-1	
5	1	3	1	15	1	21	258	129	11	24.090660	‘MainWwheel_StopModeData
4	1	3	1	16	0	21	275	149	10	-1	
5	1	3	1	16	1	21	275	126	10	13.075180	NoseGear_Request_Down
5	1	3	1	16	2	153	275	17	8	95.715652	Ext
2	1	4	0	0	0	232	31	79	9	-1	
3	1	4	1	0	0	232	31	79	9	-1	
4	1	4	1	1	0	232	31	37	9	-1	
5	1	4	1	1	1	232	31	37	9	0.000000	é
4	1	4	1	2	0	272	31	39	9	-1	
5	1	4	1	2	1	272	31	39	9	39.837135	i
2	1	5	0	0	0	16	288	723	15	-1	
3	1	5	1	0	0	16	288	723	15	-1	
4	1	5	1	1	0	16	288	723	15	-1	
5	1	5	1	1	1	16	288	723	15	95.000000	 
2	1	6	0	0	0	22	307	112	10	-1	
3	1	6	1	0	0	22	307	112	10	-1	
4	1	6	1	1	0	22	307	112	10	-1	
5	1	6	1	1	1	22	307	112	10	8.545609	“_NoseGear_UpRequest
2	1	7	0	0	0	0	704	760	21	-1	
3	1	7	1	0	0	0	704	760	21	-1	
4	1	7	1	1	0	0	704	760	21	-1	
5	1	7	1	1	1	0	704	760	21	95.000000	 
2	1	8	0	0	0	333	31	26	9	-1	
3	1	8	1	0	0	333	31	26	9	-1	
4	1	8	1	1	0	333	31	26	9	-1	
5	1	8	1	1	1	333	31	26	9	14.178459	é
2	1	9	0	0	0	352	97	13	77	-1	
3	1	9	1	0	0	352	97	13	77	-1	
4	1	9	1	1	0	352	97	13	77	-1	
5	1	9	1	1	1	352	97	13	77	39.580391	ooo000
2	1	10	0	0	0	444	32	27	8	-1	
3	1	10	1	0	0	444	32	27	8	-1	
4	1	10	1	1	0	444	32	27	8	-1	
5	1	10	1	1	1	444	32	27	8	85.660431	Force
2	1	11	0	0	0	0	722	760	3	-1	
3	1	11	1	0	0	0	722	760	3	-1	
4	1	11	1	1	0	0	722	760	3	-1	
5	1	11	1	1	1	0	722	760	3	95.000000	 
